â,آ
fıtra,فطره
fıtrat,فطرت
fıtraten,فطرتا
fıtrî,فطری
fî,فى
fîât,فيئات
figân,فغان
fihris,فهرس
fikir,فكر
fikr,فكر
fikren,فكرا
fikrî,فكری
fikriyyât,فكریات
fil,فيل
fi'l,فعل
filâhat,فلاحت
filasl,فى الاصل
fi'len,فعلا
filhakîka,فى الحقيقه
filhâl,فى الحال
fi'liyyât,فعليات
filiz,فلز
filmesel,فى المثل
filvâki,فى الواقع
fîmâba'd,فى ما بعد
fînefsilemr,فى نفس الامر
firâk,فراق
firâr,فرار
firârî,فراری
firâvân,فراوان
fir'avn,فرعون
firâz,فراز
firdevs,فردوس
fireng,فرنگ
firîfte,فریفته
firistâde,فرستاده
firişte,فرشته
firiştehû,فرشته خو
firkat,فرقت
fîrûz,فيروز
fîrûze,فيروزه
fîrûzefâm,فيروزه فام
fîsebîlillah,فى سبيل اﷲ
fiten,فتن
fitne,فتنه
fityân,فتيان
fuâd,فؤاد
fuhş,فحش
fuhuş,فحش
fukahâ,فقها
fukarâ,فقرا
fûlâd,فولاد
furkân,فرقان
fursat,فرصت
fursatcû,فرصت جو
fusahâ,فصحا
fusûl,فصول
fuzalâ,فضلا
fuzûl,فضول
fuzûlî,فضولى
füceten,فجئة
fücûr,فجور
fülân,فلان
fülfül,فلفل
füls,فلس
fülûs,فلوس
fünûn,فنون
fürs,فرس
fürû',فروع
fürûğ,فروغ
fürûht,فروخت
fürûmâye,فرومایه
fürûzân,فروزان
füshat,فسحت
füsûn,فسون
füsûnger,فسونگر
füsürde,فسرده
fütâde,فتاده
fütûhât,فتوحات
fütûr,فتور
fütüvvet,فتوت
füyûz,فيوض
füzûn,فزون
gabâvet,غباوت
gabî,غبى
gabn,غبن
gaddâr,غدار
gadr,غدر
gaffâr,غفار
gâfil,غافل
gaflet,غفلت
gafleten,غفلة
gafûr,غفور
gâh,گاه
gâhî,گاهى
gâhvâre,گاهواره
gâib,غائب
gâile,غائله
gâita,غائطه
galat,غلط
galebe,غلبه
galeyân,غليان
gâlib,غالب
gâliba,غالبا
gâlibiyyet,غالبيت
galîz,غليظ
galle,غله
gam,غم
gâm,گام
gâmız,غامض
gammâz,غماز
gamnâk,غمناک
gamze,غمزه
ganâim,غنائم
ganem,غنم
ganî,غنى
ganîmet,غنيمت
gâr,غار
garâbet,غرابت
garâib,غرائب
garâm,غرام
garaz,غرض
garazâlûd,غرض آلود
garazkâr,غرضكار
garb,غرب
garben,غربا
garbî,غربى
garbiyyûn,غربيون
gâret,غارت
gâretger,غارتگر
garîb,غریب
garibü'd-diyâr,غریب الدیار
garîk,غریق
garîze,غریزه
garizî,غریزی
gark,غرق
garrâ,غرا
gars,غرس
gasb,غصب
gaseyan,غصيان
gâsıb,غصيب
gasl,غسل
gassâl,غسال
gâşiye,غاشيه
gaşy,غشى
gâv,گاو
gavgâ,غوغا
gavvâs,غواص
gâyât,غایات
gayb,غایب
gaybûbet,غيبوبت
gâye,غایه
gâyet,غایت
gayr,غير
gayrendîş,غير اندیش
gayret,غيرت
gayretkeş,غيرتكش
gayretmend,غيرتمند
gayr-i idrakî,غير ادراكى
gayr-i ihtiyarî,غير اختياری
gayr-i kâbil,غير قابل
gayr-i kâbil-i fehm,غير قابل فهم
gayr-i kâbil-i izâle,غير قابل ازاله
gayr-i kâbil-i mukavemet,غير قابل مقاومت
gayr-i kâbil-i tebdil,غير قابل تبدیل
gayr-i kâbil-i tefrik,غير قابل تفریق
gayr-i kâbil-i telif,غير قابل تأليف
gayr-i mahdûd,غير محدود
gayr-i mahsûs,غير محسوس
gayr-i mer'î,غير مرئى
gayr-i meşrû,غير مشروع
gayr-i muayyen,غير معين
gayr-i muhtemel,غير محتمل
gayr-i muntazam,غير منتظم
gayr-i müslim,غير مسلم
gayriyyet,غيریت
gayyâ,غيا
gayz,غيظ
gazâ,غزا
gazab,غضب
gazâl,غزال
gazanfer,غضنفر
gazavât,غزوات
gazel,غزل
gazelhân,غزل خوان
gazeliyyât,غزليات
gazelserâ,غزل سرا
gazî,غازی
gazve,غزوه
gebr,گبر
gedâ,گدا
geh,گه
gehvâre,گهواره
gele,گله
gelû,گلو
genc,گنج
gencîne,گنجينه
gendîde,گندیده
gendûmgûn,گندمگون
gendüm,گندم
ger,گر
gerçi,گرچه
gerd,گرد
gerdâlûd,گرد آلود
gerdân,گردان
gerden,گردن
gerdenbend,گردن بند
gerdenferâz,گردن فراز
gerdenkeş,گردن كش
gerdiş,گردش
gerdûn,گردون
gerdûne,گردونه
germ,گرم
germâ,گرما
germâbe,گرمابه
germî,گرمى
geşt,گشت
geştügüzâr,گشت و گزار
gevher,گوهر
gevherî,گوهری
gevz,گوز
gezend,گزند
gıbta,غبطه
gıdâ,غدا
gılâf,غلاف
gıllügış,غل و غش
gılmân,غلمان
gılzet,غلظت
gınâ,غنا
gırbâl,غربال
gırîv,گریو
gışâ,غشا
gışş,غش
gıyâb,غياب
gıyâben,غيابا
gıyâs,غياث
gıybet,غيبت
gil,گل
gile,گله
gilemend,گله مند
girâmî,گرامى
girân,گران
giranbehâ,گران بها
girankadr,گران قدر
girankıymet,گران قيمت
girânmâye,گران مایه
girânser,گران سر
gird,گرد
girdâb,گرداب
girdâgird,گرداگرد
girdbâd,گردباد
girdû,گردو
girîbân,گریبان
girift,گرفت
giriftâr,گرفتار
girih,گره
girihgîr,گره گير
girihgüşâ,گره گشا
girîve,گریوه
gîrûdâr,گيرودار
giryân,گریان
girye,گریه
giryeengîz,گریه انگيز
giryenâk,گریه ناک
gîsû,گيسو
gîsûbend,گيسوبند
gîtî,گيتى
giyâh,گياه
gonca,غنجه
goncaruhsâr,غنجه رخسار
gonce,غنجه
goncedehân,غنجه دهان
gubâr,غبار
gubârâlûd,غبار آلود
gudde,غده
guded,غدد
gufrân,غفران
gûgerd,گوگرد
gûk,غوک
gûl,گول
gulâm,غلام
gulât,غلات
gulgule,غلغله
gumûm,غموم
gûnâgûn,گوناگون
gûne,گونه
gunûde,غنوده
gûr,گور
gurâb,غراب
gurbet,غربت
gurbetzede,غربت زده
gurebâ,غربا
gûristân,گورستان
gûrken,گوركن
gurrân,غران
gurre,غره
gurûb,غروب
gurûr,غرور
gûsâle,گوساله
gûsâle,گوساله
gûsfend,گوسفند
gusl,غسل
gusn,غصن
gussa,غصه
gûş,گوش
gûşe,گوشه
gûşenişîn,گوشه نشين
gûşt,گوشت
gûşvâre,گوشواره
gûy,گوی
gûyâ,گویا
güdâhte,گداخته
güftâr,گفتار
güfte,گفته
güftügû,گفت و گو
güher,گهر
güherfurûş,گهرفروش
gül,گل
gülâb,گلاب
gülabdan,گلابدان
gülbang,گلبانگ
gülbang-ı muhammedî,گلبانگ محمدی
gülberg,گلبرگ
gülbün,گلبن
gülçehre,گل چهره
gülçin,گلچين
güldan,گلدان
güldeste,گلدسته
gülendâm,گل اندام
gülfâm,گلفام
gülgonce,گل غنجه
gülgûn,گلگون
gülistân,گلستان
gülizar,گلعذار
güllaç,گلاج
gülmih,گل ميخ
gülnâr,گلنار
gülnihal,گل نهال
gülreng,گل رنگ
gülriz,گلریز
gülrû,گل رو
gülruh,گل رخ
gülşen,گلشن
gülten,گل تن
gülüptan,گلابدان
gülzâr,گلزار
gümân,گمان
gümnâm,گمنام
gümrâh,گمراه
günah,گناه
günahkâr,گناهكار
günbed,گنبد
güncişk,گنجشك
güneh,گنه
gürbe,گربه
gürbüz,گربز
gürg,گرگ
güriz,گریز
gürîzân,گریزان
gürûh,گروه
güstâh,گستاخ
güşâderû,گشاده رو
güşâyiş,گشایش
güvâh,گواه
güzâf,گزاف
güzergâh,گذرگاه
güzeşt,گذشت
güzîde,گزیده
güzin,گزین
güzîr,گزیر
h,ه ح خ
hâ,خا
hâ,ها
hâb,خواب
habâb,حباب
habâbe,حبابه
habâis,خبائث
hâbâlûd,خواب آلود
hâbâlûde,خواب آلوده
habâset,خباثت
habb,حب
habbât,حبات
habbâz,خباز
habbe,حبه
habbe-i hadrâ,حبهء حضرا
habbe-i sevdâ,حبهء سودا
habbezâ,حبذا
habbülbülûğ,حب البلوغ
hâbcâme,خواب جامه
haber,خبر
haberdar,خبردار
habeşe,حبشه
hâbgâh,خوابگاه
habîb,حبيب
habîr,خبير
habis,خبيث
habl,حبل
hablülmesâkin,حبل المساكن
hâbnâk,خوابناک
hâbnâme,خواب نامه
habr,حبر
habs,حبس
habshâne,حبس خانه
habt,خبط
habtühata,خبط و خطا
hac,حاج
hacâlet,خجالت
hacâletâver,خجالت آور
hacamat,حجامت
hacâmet,حجامت
hâcât,حاجات
haccâm,حجام
haccar,حجار
hâcce,حاجه
hâce,خواجه
hâcegân,خواجگان
hâcegî,خواجگى
hacel,خجل
hacer,حجر
hacer-i esved,حجر اسود
hacer-i semâî,حجر سمائى
hâceserâ,خواجه سرا
hâcet,حاجت
hâcetmend,حاجتمند
hacı,حاجى
hacıyân,حاجيان
hâcî,هاجى
hâcib,حاجب
hacîl,خجيل
hâcir,هاجر
hâciz,حاجز
hacle,حجله
haclegâh,حجله گاه
haclet,خجلت
hacletâver,خجلت آور
hacm,حجم
hacmen,حجما
hacz,حجز
hadâik,حدائق
hadd,حد
hadd,خد
hâdd,حاد
haddâ',خداع
haddâd,حداد
haddâdî,حدادی
hadd-i asgarî,حد اصغری
hadd-i azamî,حد اعظمى
hadd-i tabiî,حد طبيعى
hadeb,حدب
hadem,خدم
hademe,خدمه
hadeng,خدنگ
hader,خدر
hades,حدس
hâdi',خادع
hâdî,هادی
hadîka,حدیقه
hâdim,خادم
hâdime,خادمه
hadîs,حدیث
hâdis,حادث
hâdisat,حادثات
hâdise,حادثه
hadnâşinas,حدناشناس
hadrâ,حضرا
hads,حدس
hadşe,خدشه
hadşeâver,خدشه آور
hafâ,خفا
hafâfîş,خفافيش
hafâgâh,خفاگاه
hafâir,حفائر
hafakan,خفقان
hafâyâ,خفایا
hafız,حافظ
hafıza,حافظه
hâfız-ı kütüb,حافظ كتب
hafî,خفى
hâfî,حافى
hafîd,حفيد
hafîde,حفيده
hafif,خفيف
hafîr,حفير
hâfir,حافر
hafiyyât,خفيات
hafiyye,خفيه
hafiyyen,خفيا
hafr,حفر
hafriyyât,حفریات
haftân,خفتان
hâh,خواه
hâhân,خواهان
hâher,خواهر
hâherzâde,خواهرزاده
hâhiş,خواهش
hâhişger,خواهشگر
hâhişkâr,خواهشكار
hâhişkerde,خواهش كرده
hâhnâhâh,خواه ناخواه
hâif,خائف
hâifen,خائفا
hâil,هائل
hâin,خائن
hâinâne,خائنانه
hâiz,حائز
hâiz-i ehemmiyet,حائز اهميت
hak,حق
hâk,خاک
hak teâlâ,حق تعالى
hakâik,حقائق
hakâret,حقارت
hakaretâmiz,حقارت آميز
hakâyık,حقایق
hâkbîz,خاک بيز
hakem,حكم
hâkezâ,هكذا
hakgû,حق گو
hâkî,حاكى
hâkî,خاكى
hakîkat,حقيقت
hakîkaten,حقيقة
hakikatperver,حقيقت پرور
hakikî,حقيقى
hakikiye,حقيقيه
hakîm,حكيم
hâkimiyet,حاكميت
hakîr,حقير
hâkister,خاكستر
hâkisterî,خاكستری
hakk,حق
hakk,حك
hakkâ,حقا
hakkâk,حكاک
hakkaniyet,حقانيت
hâkrûb,خاكروب
hakşinas,حق شناس
hakşinâsî,حق شناسى
hal',خلع
hâl,حال
hâl,خال
hâl,خال
halâ,خلا
hâlâ,حالا
halâik,خلائق
halâl,خلال
halâs,خلاص
halaskâr,خلاصكار
hâlâşina,حال آشنا
hâlât,حالات
halâvet,حلاوت
haldâr,خالدار
hâle,خاله
hâle,هاله
halecan,خلجان
halef,خلف
halel,خلل
haleldâr,خللدار
halen,حالا
hâlet,حالت
hâlet-i ruhiye,حالت روحيه
halhal,خلخال
hâlık,خالق
hâlî,خالى
halîb,حليب
halîc,خليج
hâlid,خالد
halîfe,خليفه
halihazır,حال حاضر
hâlik,خالق
hâlikiyet,خالقيت
halîm,حليم
hâlis,خالص
hâlisâne,خالصانه
halîta,خليطه
hâliyâ,حاليا
halk,حلق
halk,خلق
halka,حلقه
halkabegûş,حلقه بگوش
halkiyat,خلقيات
hall,حل
hallâc,حلاج
hallâk,خلاق
hallâl,حلال
hallüfasl,حل و فصل
halt,خلط
halûk,خلوق
halvet,خلوت
halvetgâh,خلوتگاه
ham,خام
ham,خم
hamâil,حمائل
hamâkat,حماقت
hamâme,حمامه
hamâse,حماسه
hamâset,حماست
hamd,حمد
hâme,خامه
hamel,حمل
hamelât,حملات
hâmî,حامى
hâmid,حامد
hamîde,خميده
hâmil,حامل
hâmile,حامله
hamîr,حمير
hâmis,خامس
hâmisen,خامسا
hâmiş,هامش
hâmiz,حامض
haml,حمل
hamle,حمله
hammâl,حمال
hammâm,حمام
hammâr,خمار
hamr,خمر
hamrâ,خمرا
hams,خمس
hamse,خمسه
hamsin,خمسين
hamûl,حمول
hamûle,حموله
hâmûn,هامون
hâmûş,خاموش
hamyâze,خميازه
hamz,حمض
hân,خوان
hân,خوان
hanâzir,خنازیر
hancer,خنجر
hancere,حنجره
handan,خندان
hande,خنده
handek,خندق
handerûy,خنده روی
hâne,خانه
hanedan,خاندان
hâneharâb,خانه خراب
hânende,خواننده
hanif,حنيف
hânkah,خانقاه
hânman,خانمان
hannas,خناس
hânsâlar,خوان سالار
hânüman,خانمان
hapis,حبس
hapishane,حبس خانه
har,خر
hâr,خوار
hâr,خوار
hâr,خار
harâb,خراب
harâbat,خرابات
harâbe,خرابه
harâc,خراج
haram,حرام
harâmi,حرامى
haramzâde,حرام زاده
harâret,حرارت
harâtin,خراطين
harb,حرب
harbe,حربه
harb-i umûmî,حرب عمومى
harbiye,حربيه
harbüze,خربزه
harc,خرج
harcıâlem,خرج عالم
harcırah,خرج راه
harçeng,خرچنگ
hardal,خردل
hâre,خاره
harekât,حركات
hareket,حركت
harem,حرم
haremserây,حرم سرای
harf,حرف
hargâh,خرگاه
hargûş,خرگوش
hârî,خواری
hârib,هارب
hâric,خارج
hâricen,خارجا
hâricî,خارجى
hariciye,خارجيه
harîd,خرید
harîdâr,خریدار
harîf,حریف
harîk,حریق
hârika,خارقه
hârikulâde,خارق العاده
harîm,حریم
harîm-i ismet,حریم عصمت
harîr,حریر
harîrî,حریری
harîs,حریص
hâris,حارث
hâris,حارس
hâristan,خارستان
harita,خریطه
harmen,خرمن
harmengâh,خرمنگاه
harmühre,خرمهره
harnub,خرنوب
hârpuşt,خارپشت
hârr,حار
harrât,خراط
hars,حرث
harsî,حرثى
harvâr,خروار
hârzâr,خارزار
has,خس
hâs,خاص
hasâdet,حسادت
hasâil,خصائل
hasâis,خصائص
hasâr,خسار
hasarât,خسرات
hasardîde,خساردیده
hasâret,خسارت
hasâset,خساست
hasb,حسب
hasbe,حصبه
hasbelkader,حسب القدر
hasbetenlillah,حسبة ﷲ
hasbihal,حسب حال
hasbü'l-mâhiye,حسب الماهيه
hasebe,حصبه
hased,حسد
hasen,حسن
hasenât,حسنات
hasene,حسنه
hasenülhulk,حسن الخلق
hasf,خسف
hâsıd,حاصد
hâsıl,حاصل
hâsılat,حاصلات
hâsılât-ı gayr-i sâfiye,حاصلات غير صافيه
hâsılât-ı sâfiye,حاصلات صافيه
hasıl-ı kelâm,حاصل كلام
hasım,خصم
hasîb,حسيب
hâsid,حاسد
hasîn,حصين
hasîr,حصير
hâsir,خاسر
hasis,خسيس
hasîsa,خصيصه
hasiy,خصى
haslet,خصلت
hasm,خصم
hasmâne,خصمانه
hasmî,خصمى
hasnâ,حسنا
hasr,حصر
hasret,حسرت
hasretkeş,حسرت كش
hassa,خاصه
hassâd,حصاد
hassas,حساس
hassâsiyyet,حساسيت
hâsse,خاصه
hâsseten,خاصة
hâssuâmm,خاص و عام
haste,خسته
hâste,خواسته
hâste,خاسته
hastegî,خستگى
hâstgâr,خواستگار
hâstgârî,خواستگاری
hasûd,حسود
hasûdâne,حسودانه
hasûdî,حسودی
hâşâ,حاشا
hâşâk,خاشاک
haşeb,خشب
haşem,حشم
haşerat,حشرات
haşere,حشره
haşhaş,خشخاش
haşîn,خشين
hâşiye,حاشيه
haşmet,حشمت
haşmetmeab,حشمت مآب
haşmgîn,خشمگين
haşr,حشر
haşv,حشو
haşyet,خشيت
haşyetengiz,خشيت انگيز
hatâ,خطا
hataâlûd,خطا آلود
hatab,حطب
hatâbahş,خطا بخش
hatâen,خطاء
hatâiyyât,خطائيات
hatakâr,خطاكار
hatâpûş,خطاپوش
hatar,خطر
hatarât,خطرات
hatarnâk,خطرناک
hatâyâ,خطایا
hâtem,خاتم
hâtıf,هاتف
hâtır,خاطر
hâtıra,خاطره
hâtırat,خاطرات
hâtırâzâr,خاطر آزار
hâtırâzürde,خاطر آزرده
hâtırşinâs,خاطرشناس
hatîa,خطيئه
hatîb,خطيب
hâtime,خاتمه
hatîr,خطير
hatm,ختم
hatn,ختن
hatt,خط
hattâ,حتى
hattâb,حطاب
hattat,خطاط
hatve,خطوه
havâ,هوا
havadar,هوادار
havâdis,حوادث
havaî,هوائى
havâkin,خواقين
havale,حواله
havali,حوالى
havârik,خوارق
havâss,خواص
havâtîn,خواتين
havâyic,حوایج
hâven,هاون
hâver,خاور
hâveran,خاوران
hâverşinas,خاورشناس
havf,خوف
havfnâk,خوفناک
hâvî,حاوی
havl,حول
havsala,حوصله
havz,حوض
hayâ,حيا
hayâl,خيال
hayâlât,خيالات
hayâlen,خيالا
hayâlet,خيالت
hayalî,خيالى
hayalperest,خيال پرست
hayat,حيات
hayatbahş,حيات بخش
hayât-ı cinsiye,حيات جنسيه
hayât-ı diniye,حيات دینيه
hayât-ı rûz-i merre,حيات روز مره
hayatî,حياتى
hayâtiyyât,حياتيات
haydud,حيدود
hâye,خایه
hayf,حيف
hayır,خير
hayırhah,خيرخواه
hayız,خيض
hayl,خيل
hayli,خيلى
hayme,خيمه
haymegâh,خيمه گاه
haymenişin,خيمه نشين
hayr,خير
hayran,حيران
hayrendiş,خيراندیش
hayret,حيرت
hayretbahş,حيرت بخش
hayretkâr,حيرت كار
hayretzede,حيرت زده
haysiyyet,حيثيت
hayvan,حيوان
hayvanî,حيوانى
hayvaniye,حيوانيه
hayy,حى
hayyât,خياط
hayye,حيه
hayyir,خير
hayz,خيض
hazâin,خزائن
hazân,خزان
hazar,حضر
hazer,حذز
hazerat,حضرات
hazf,حذف
hâzık,حاذق
hazır,حاضر
hâzırûn,حاضرون
hâzi,خاضع
hazîn,حزین
hâzin,خازن
hazine,خزینه
hazinedar,خزینه دار
hazîre,حظيره
hazm,حضم
hazret,حضرت
hazz,حظ
hebâ,هبا
hecâ,هجا
hecâgû,هجاگو
hecîn,هجين
hecr,هجر
hedâyâ,هدایا
hedef,هدف
heder,هدر
hediyye,هدیه
heft,هفت
heftâd,هفتاد
hefte,هفته
heftevreng,هفت اورنگ
helâhil,هلاهل
helâk,هلاک
helal,حلال
helalzâde,حلال زاده
helezon,حلزون
helva,حلوا
helvafurûş,حلوا فروش
helvâyî,حلوایى
hem,هم
hemâgûş,هم آگوش
hemâheng,هم آهنگ
hemâhenk,هم آهنگ
heman,همان
hemânâ,همانا
hemandem,هماندم
hemânend,همانند
hemasr,هم عصر
hemâvâz,هم آواز
hembâz,همباز
hemcins,هم جنس
hemcivâr,هم جوار
hemçü,همچو
hemdem,همدم
hemderd,هم درد
hemdîger,همدیگر
heme,همه
hemegân,همگان
hemfikir,همفكر
hemfikr,همفكر
hemginân,همگنان
hemhudûd,هم حدود
hemhudut,هم حدود
hemin,همين
hemîşe,هميشه
hemkadd,هم قد
hemkâr,همكار
hemkîş,همكيش
hemm,هم
hemnâm,همنام
hempâ,همپا
hemrâh,همراه
hemrâz,همراز
hemrîş,همریش
hemsâl,همسال
hemsâye,همسایه
hemsefer,همسفر
hemser,همسر
hemsinn,هم سن
hemsohbet,هم صحبت
hemşehrî,هم شهری
hemşeri,
hemşîre,همشيره
hemtâ,همتا
hemvâr,هموار
hemvâre,همواره
hemyân,هميان
hemzâd,همزاد
hemzebân,همزبان
henâzir,خنازیر
hendese,هندسه
hendesî,هندسى
hengâm,هنگام
hengâme,هنگامه
henüz,هنوز
her,هر
herâyîne,هر آیينه
herbâr,هربار
hercâî,هرجائى
hercâyî,هرجائى
hercümerc,هرج و مرج
herçend,هرچند
herçibâdâbâd,هرچه بادا باد
herdem,هردم
herem,هرم
hergele,خرگله
hergiz,هرگز
herze,هرزه
herzegû,هرزه گو
herzegûyî,هرزه گویى
hesâb,حساب
hestî,هستى
heşt,هشت
heştâd,هشتاد
hetk,هتك
hettâk,هتاک
hevâ,هوا
hevâdâr,هوادار
hevâdâr,هوادار
hevâperest,هواپرست
heves,هوس
hevesât,هوسات
hevesdâr,هوسدار
heveskâr,هوسكار
hevl,هول
hevlnâk,هولناک
heyâkil,هياكل
heyecân,هيجان
heyelân,هيلان
heyet,هيئت
hey'et,هيئت
heyet-i ictimâiye,هيئت اجتماعيه
heyet-i mecmua,هيئت مجموعه
heyet-i muallimîn,هيئت معلمين
hey'etşinâs,هيئت شناس
heyhât,هيهات
heykel,هيكل
heykeltıraş,هيكل تراش
heyûlâ,هيولا
heyzüm,هيزم
hezâr,هزار
hezârân,هزاران
hezârân,هزاران
hezârdestân,هزاردستان
hezârpâ,هزارپا
hezeyân,هزیان
hezîmet,هزیمت
hezl,هزل
hezlgû,هزل گو
hıdiv,خدیو
hıfz,حفظ
hıfzıssıhha,حفظ الصحه
hılt,خلط
hınâ,حنا
hınzîr,خنزیر
hırâmân,خرامان
hıred,خرد
hıredmend,خردمند
hırka,خرقه
hırkapûş,خرقه پوش
hırmân,حرمان
hırs,حرص
hırs,خرس
hırz,حرز
hısâl,خصال
hısn,حصن
hışım,خشم
hışm,خشم
hışmgîn,خشمگين
hışt,خشت
hıtat,خطط
hıtta,خطه
hıyâbân,خيابان
hıyânet,خيانت
hıyânetkâr,خيانتكار
hıyâr,خيار
hıyre,خيره
hıyreçeşm,خيره چشم
hıyreser,خيره سر
hibâb,حباب
hibâle,حباله
hibe,هبه
hibr,حبر
hibre,خبره
hicâ,هجا
hicâb,حجاب
hicaz,حجاز
hiciv,هجو
hicr,هجر
hicrân,هجران
hicret,هجرت
hicv,هجو
hicviye,هجویه
hicviyye,هجویه
hîç,هيچ
hîçkes,هيچكس
hidâ',خداع
hidayet,هدایت
hiddet,حدت
hidemat,خدمات
hidiv,خدیو
hidmet,خدمت
hidmetkâr,خدمتكار
hiffet,خفت
hijdeh,هژده
hîk,خيك
hikâyât,حكایات
hikâyet,حكایت
hikem,حكم
hikmet,حكمت
hikmetşinâs,حكمت شناس
hilâf,خلاف
hilâl,خلال
hilâl,هلال
hil'at,خلعت
hîle,حيله
hîlebaz,حيله باز
hîlekâr,حيله كار
hilkat,خلقت
hilm,حلم
hilye,حليه
himâr,حمار
himaye,حمایه
hîme,هيمه
himem,همم
himmet,همت
hîn,حين
hinduvâne,هندوانه
hîn-i hâcet,حين حاجت
hirâs,هراس
hired,خرد
hiref,حرف
hirem,هرم
hirfet,حرفت
hirmân,حرمان
his,حس
hisâb,حساب
hisân,حصان
hisar,حصار
hiss,حس
hisse,حصه
hissedar,حصه دار
hisset,خست
hisseyâb,حصه یاب
hissî,حسى
hiss-i kablelvukû,حس قبل الوقوع
hissiyât,حسيات
hissiye,حسيه
hîş,خویش
hitâb,خطاب
hitâbe,خطابه
hitabet,خطابت
hitâm,ختام
hitan,ختان
hiyel,حيل
hizâ,حذا
hizâb,خيزاب
hizâne,خزانه
hizb,حزب
hizmet,خدمت
hizmet-i vataniye,خدمت وطنيه
hoca,خواجه
hod,خود
hodbehod,خودبخود
hodbin,خودبين
hodkâm,خودكام
hodrey,خودرای
hodsitâ,خودستا
hokka,حقه
hokkabaz,حقه باز
hoşab,خوشاب
hoşaf,خوشاب
hoşâmedgû,خوش آمد گو
hoşâvâz,خوش آواز
hoşbû,خوشبو
hoşgüvâr,خوش گوار
hoşnûd,خشنود
hoşnut,خشنود
hoşrû,خوش رو
hoşsohbet,خوش صحبت
hû,هو
hûb,خوب
hubb,حب
hubbü'l-vatan mine'l-îmân,حب الوطن من الایمان
hubeb,حبب
hûbî,خوبى
hûbrûy,خوبروی
hûbter,خوبتر
hubûb,حبوب
hububat,حبوبات
hubz,خبز
huccâc,حجاج
huccet,حجت
huceste,خجسته
hûd,خود
hud'a,خدعه
hudâ,خدا
hudâdâd,خداداد
hudânekerde,خدانكرده
hudârâ,خودآرا
hudâşinas,خداشناس
hudâvend,خداوند
hudâvendigâr,خداوندگار
hudâyâ,خدایا
huddâm,خدام
hudperest,خودپرست
hudûd,حدود
hudûs,حدوس
huffâş,خفاش
huffâz,حفاظ
hufre,حفره
hufte,خفته
hûk,خوک
hukne,حقنه
hukuk,حقوق
hukuk-i siyasiye,حقوق سياسيه
hukukşinas,حقوق شناس
hulâsa,خلاصه
hulâsa-i kelâm,خلاصهء كلام
hulâsaten,خلاصة
huld,خلد
hulefa,خلفا
hulk,خلق
hulkum,حلقوم
hulûl,حلول
hulûs,خلوص
hulûskâr,خلوصكار
hulyâ,خوليا
hum,خم
humâr,خمار
humekâ,حمقا
humhâne,خم خانه
humk,حمق
hummâ,حما
humret,حمرت
hums,خمس
humûzet,حموضت
hûn,خون
hûnâlûd,خون آلود
hunbehâ,خون بها
hunhâr,خونخوار
hunnâk,خناق
hunrîz,خونریز
hunyâger,خنياگر
hûr,حور
hurâfât,خرافات
hurafe,خرافه
hurafeperver,خرافه پرور
hurd,خرد
hurdebin,خرده بين
hurdegîr,خرده گير
hûri,حوری
hurûc,خروج
hurûş,خروش
husemâ,خصما
husûf,خسوف
husûl,خصول
husûmet,خصومت
husûs,خصوص
husûsat,خصوصات
hususî,خصوصى
husûsiyet,خصوصيت
hûş,هوش
hûşe,خوشه
huşk,خشك
huşksâlî,خشك سالى
huşû,خشوع
huşûnet,خشونت
huşyâr,هشيار
hutût,خطوط
hûy,خوی
huzme,حزمه
huzûr,حضور
huzzâr,حضار
hüccet,حجت
hücec,حجج
hüceyrat,حجيرات
hüceyre,حجيره
hücre,حجره
hücum,هجوم
hücürât,حجرات
hüdhüd,هدهد
hükemâ,حكما
hükkâm,حكام
hükm,حكم
hüküm,حكم
hükümat,حكومات
hükümdar,حكمدار
hükümdârî,حكمداری
hükümet,حكومت
hükümet-i müstebide,حكومت مستبده
hükümran,حكمران
hükümrânî,حكمرانى
hülâsa,خلاصه
hülâsatan,خلاصة
hümâ,هما
hümâyûn,همایون
hüner,هنر
hünermend,هنرمند
hünkâr,خنكار
hünsâ,خنثى
hür,حر
hürmet,حرمت
hürmetkâr,حرمتكار
hürr,حر
hürriyet,حریت
hüsam,حسام
hüsn,حسن
hüsn-i ahlak,حسن اخلاق
hüsn-i idare,حسن اداره
hüsn-i kabul,حسن قبول
hüsn-i sûret,حسن صورت
hüsnü kabul,حسن قبول
hüsr,خسر
hüsran,خسران
hüsranhîz,خسران خيز
hüsrev,خسرو
hüveydâ,هویدا
hüviyyet,هویت
hüzn,حزن
hüznengîz,حزن انگيز
hüzzam,حزام
ıhlamur,اخلامور
ık'âd,اقعاد
ıkd,عقد
ıklîm,اقليم
ıktıdâ,اقتدا
ırdâ,ارضاع
ırk,عرق
ırken,عرقا
ırk-ı ahmer,عرق احمر
ırk-ı ebyaz,عرق ابيض
ırkî,عرقى
ırz,عرض
ırzâ,ارضاع
ısdâr,اصدار
ısfırâr,اصفرار
ıskât,اسقاط
ıslâh,اصلاح
ıslâhât,اصلاحات
ıslâhpezîr,اصلاح پذیر
ısrar,اصرار
ıstıbâr,اصطبار
ıstıfâ,اصطفا
ıstıfâî,اصطفائى
ıstılâh,اصطلاح
ıstılâhât,اصطلاحات
ıstınâ',اصطناع
ıstırab,اضطراب
ışk,عشق
ışka,عشقه
