Türkçe,Osmanlıca
bîhâsıl,بی حاصل
bîhayâ,بی حيا
bîhayâ,بی حيا
bîhayat,بی حيات
bîhayat,بی حيات
bihâzelemr,بهذا الامر
bihâzelemr,بهذا الامر
bihbûd,بهبود
bihbûd,بهبود
bîhemtâ,بی همتا
bîhemtâ,بی همتا
bîhesâb,بی حساب
bîhesâb,بی حساب
bîhiss,بی حس
bîhiss,بی حس
bihişt,بهشت
bihişt,بهشت
bîhod,بيخود
bîhod,بيخود
bihter,بهتر
bihter,بهتر
bîhude,بيهده
bîhude,بيهده
bîinsâf,بی انصاف
bîinsâf,بی انصاف
bîkâr,بيکار
bîkâr,بيکار
bîkarâr,بی قرار
bîkarâr,بی قرار
bikr,بکر
bikr,بکر
bikr,بكر
bîl,بيل
bîl,بيل
bilâd,بلاد
bilâd,بلاد
bilâfâsıla,بلافاصله
bilâfâsıla,بلافاصله
bilâhareket,بلاحرکت
bilâhareket,بلاحرکت
bilâhere,بالآخره
bilâhere,بالآخره
bilâinkıtâ,بلاانقطاع
bilâinkıtâ,بلاانقطاع
bilâkayt,بلاقيد
bilâkayt,بلاقيد
bilakis,بالعکس
bilakis,بالعکس
bilâmâni'a,بلامانعه
bilâmâni'a,بلامانعه
bilâmazeret,بلامعذرت
bilâmazeret,بلامعذرت
bilâmerhamet,بلامرحمت
bilâmerhamet,بلامرحمت
bilâmühlet,بلامهلت
bilâmühlet,بلامهلت
bilâpervâ,بلاپروا
bilâpervâ,بلاپروا
bilâşikâyet,بلاشکایت
bilâşikâyet,بلاشکایت
bilâte'ehhür,بلاتأخر
bilâte'ehhür,بلاتأخر
bilâtefrik,بلاتفریق
bilâtefrik,بلاتفریق
bilâtehlike,بلاتهلکه
bilâtehlike,بلاتهلکه
bilâteminat,بلاتأمينات
bilâteminat,بلاتأمينات
bilâücret,بلاأجرت
bilâücret,بلاأجرت
bilcümle,بالجمله
bilcümle,بالجمله
bilfarz,بالفرض
bilfarz,بالفرض
bilfiil,بالفعل
bilfiil,بالفعل
bilhassa,بالخاصه
bilhassa,بالخاصه
biliktizâ,بالاقتضا
biliktizâ,بالاقتضا
bililtizâm,بالالتزام
bililtizâm,بالالتزام
bilistifade,بالاستفاده
bilistifade,بالاستفاده
bilistihsâl,بالاستحصال
bilistihsâl,بالاستحصال
biliştirâk,بالاشتراک
biliştirâk,بالاشتراک
billûr,بلور
billûr,بلور
bilmecbûriye,بالمجبئریه
bilmecbûriye,بالمجبئریه
bilmukabele,بالمقابله
bilmukabele,بالمقابله
bilmünâsebe,بالمناسبه
bilmünâsebe,بالمناسبه
bilmünâvebe,بالمناوبه
bilmünâvebe,بالمناوبه
bilmüzakere,بالمذاکره
bilmüzakere,بالمذاکره
bilumum,بالعموم
bilumum,بالعموم
bilvâsıta,بالواسطه
bilvâsıta,بالواسطه
bîm,بيم
bîm,بيم
bîma'nâ,بی معنی
bîma'nâ,بی معنی
bîmâr,بيمار
bîmâr,بيمار
bîmârân,بيماران
bîmârân,بيماران
bîmecâl,بی مجال
bîmecâl,بی مجال
bîmekân,بی مکان
bîmekân,بی مکان
bîmerhamet,بی مرحمت
bîmerhamet,بی مرحمت
bîmeze,بی مزه
bîmeze,بی مزه
bîmihr,بی مهر
bîmihr,بی مهر
bîmisâl,بی مثال
bîmisâl,بی مثال
bîmübâlât,بی مبالات
bîmübâlât,بی مبالات
bîmuhâbâ,بی محابا
bîmuhâbâ,بی محابا
bîmürüvvet,بی مروت
bîmürüvvet,بی مروت
bin,بن
bin,بن
binâ,بناء
binâ,بناء
bînâ,بينا
bînâ,بينا
binâberin,بنابرىن
binâberin,بنابرین
binâberin,بنابرین
binâberin,بنابرىن
binâen,بناء
binâen,بناء
binâenaleyh,بناء عليه
binâenaleyh,بناء عليه
bînâm,بينام
bînâm,بينام
bînamaz,بی نماز
bînamaz,بی نماز
bînasîb,بی نصيب
bînasîb,بی نصيب
bînazîr,بی نظير
bînazîr,بی نظير
bînemek,بی نمک
bînemek,بی نمک
bînevâ,بينوا
bînevâ,بينوا
bînî,بينی
bînî,بينی
bînihaye,بی نهایه
bînihaye,بی نهایه
binnetice,بالنتيجه
binnetice,بالنتيجه
binnisbe,بالنسبه
binnisbe,بالنسبه
bint,بنت
bint,بنت
bîpâyân,بی پایان
bîpâyân,بی پایان
bîpervâ,بی پروا
bîpervâ,بی پروا
bi'r,بئر
bi'r,بئر
birâder,برادر
birâder,برادر
bîrahm,بی رحم
bîrahm,بی رحم
bîrayb,بی ریب
bîrayb,بی ریب
birinc,برنج
birinc,برنج
birişte,برشته
birişte,برشته
birr,بر
bîrûn,بيرون
bîrûn,بيرون
biryân,بریان
biryân,بریان
bisât,بساط
bisât,بساط
bîşe,بيشه
bîşe,بيشه
bîsebat,بی ثبات
bîsebat,بی ثبات
bîsebeb,بی سبب
bîsebeb,بی سبب
bîser,بی سر
bîser,بی سر
bîşerm,بی شرم
bîşerm,بی شرم
bi'set,بئثت
bi'set,بئثت
bîst,بيست
bîst,بيست
bister,بستر
bister,بستر
bîşübhe,بی شبهه
bîşübhe,بی شبهه
bîsûd,بی سود
bîsûd,بی سود
bîşümâr,بی شمار
bîşümâr,بی شمار
bîşuur,بی شعور
bîşuur,بی شعور
bisyâr,بسيار
bisyâr,بسيار
bîtâb,بيتاب
bîtâb,بيتاب
bîtâbane,بيتابانه
bîtâbane,بيتابانه
bitamâmihâ,بتمامها
bitamâmihâ,بتمامها
bîtaraf,بی طرف
bîtaraf,بی طرف
bîtarafâne,بی طرفانه
bîtarafâne,بی طرفانه
biti,بيتى
biti,بيتى
bittab',بالطبع
bittab',بالطبع
bittafsîl,بالتفصيل
bittafsîl,بالتفصيل
bittamâm,بالتمام
bittamâm,بالتمام
"bi't-tecrübe, bittecrübe",بالتجربه
"bi't-tecrübe, bittecrübe",بالتجربه
bîve,بيوه
bîve,بيوه
bîvefâ,بی وفا
bîvefâ,بی وفا
bîvezen,بيوه زن
bîvezen,بيوه زن
bîzâr,بيزار
bîzâr,بيزار
bizâtihi,بذاته
bizâtihi,بذاته
bizzarûre,بالضروره
bizzarûre,بالضروره
bostân,بوستان
bostân,بوستان
bû,بو
bû,بو
bu'd,بعد
bu'd,بعد
bûd,بود
bûd,بود
bu'diyet,بعدیت
bu'diyet,بعدیت
buğrâ,بغرا
buğrâ,بغرا
buhalâ,بخلا
buhalâ,بخلا
buhar,بخار
buhâr,بخار
buhâr,بخار
buhl,بخل
buhl,بخل
buhrân,بحران
buhrân,بحران
buht,بهت
buht,بهت
bühtân,بهتان
bühtân,بهتان
buhûr,بخور
buhûr,بخور
buhurdan,بخوردان
buhurdan,بخوردان
buk'a,بقعه
buk'a,بقعه
bükâ,بکاء
bükâ,بکاء
buk'avî,بقعوی
buk'avî,بقعوی
bülaceb,بوالعجب
bülaceb,بوالعجب
büldân,بلدان
büldân,بلدان
büleğâ,بلغاء
büleğâ,بلغاء
bülend,بلند
bülend,بلند
bülendbâlâ,بلندبالا
bülendbâlâ,بلندبالا
bülendpervâz,بلندپرواز
bülendpervâz,بلندپرواز
bülheves,بوالهوس
bülheves,بوالهوس
bülûğ,بلوغ
bülûğ,بلوغ
bûm,بوم
bûm,بوم
bûm,بوم
bûm,بوم
bûmehen,بومهن
bûmehen,بومهن
bün,بن
bün,بن
bünyâd,بنياد
bünyâd,بنياد
bünye,بنيه
bünye,بنيه
bünyeviyat,بنيویات
bünyeviyat,بنيویات
bûr,بور
bûr,بور
burc,برج
burc,برج
bürdbâr,بردبار
bürdbâr,بردبار
bürde,برده
bürde,برده
burhan,برهان
burhan,برهان
bürhân,برهان
bürhân,برهان
bürîde,بریده
bürîde,بریده
bûriya,بوریا
bûriya,بوریا
bürka,برقع
bürka,برقع
bürnâ,برنا
bürnâ,برنا
bürrân,بران
bürrân,بران
burûc,بروج
burûc,بروج
burûdet,برودت
burûdet,برودت
bürûdet,برودت
bürûdet,برودت
bürûz,بروز
bürûz,بروز
bûse,بوسه
bûse,بوسه
büşrâ,بشرا
büşrâ,بشرا
bûstân,بوستان
bûstân,بوستان
büstân,بستان
büstân,بستان
büt,بت
büt,بت
bûte,بوته
bûte,بوته
büthâne,بت خانه
büthâne,بت خانه
bûtimar,بوتيمار
bûtimar,بوتيمار
butlân,بطلان
butlân,بطلان
bütperest,بت پرست
bütperest,بت پرست
butûn,بطون
butûn,بطون
bütûn,بطون
bütûn,بطون
bûy,بوی
bûy,بوی
bûydâr,بویدار
bûydâr,بویدار
büyût,بيوت
büyût,بيوت
büz,بز
büz,بز
büzdil,بزدل
büzdil,بزدل
bûzîne,بوزینه
bûzîne,بوزینه
büzûr,بذور
büzûr,بذور
büzürg,بزرگ
büzürg,بزرگ
büzürgân,بزرگان
büzürgân,بزرگان
büzürgzâde,بزرگ زاده
büzürgzâde,بزرگ زاده
câ,جا
câ,جا
câbecâ,جابجا
câbecâ,جابجا
câbir,جابر
câbir,جابر
çâbük,چابک
çâbük,چابک
çâbükî,چابکی
çâbükî,چابکی
çâbükpâ,چابک پا
çâbükpâ,چابک پا
çâbükrev,چابک رو
çâbükrev,چابک رو
çâbüksüvar,چابک سوار
çâbüksüvar,چابک سوار
câdde,جاده
câdde,جاده
çâder,چادر
çâder,چادر
çâdernişin,چادرنشين
çâdernişin,چادرنشين
çadır,چادر
çadır,چادر
câdû,جادو
câdû,جادو
câdûger,جادوگر
câdûger,جادوگر
çağz,چغز
çağz,چغز
câh,جاه
câh,جاه
çâh,چاه
çâh,چاه
câhid,جاهد
câhid,جاهد
câhil,جاهل
câhil,جاهل
câhilâne,جاهلانه
câhilâne,جاهلانه
câiz,جائز
câiz,جائز
câize,جائزه
câize,جائزه
çâk,چاک
çâk,چاک
çâkâçâk,چاکاچاک
çâkâçâk,چاکاچاک
çâker,چاکر
çâker,چاکر
çâkerî,چاکری
çâkerî,چاکری
çâkûç,چاکوچ
çâkûç,چاکوچ
ca'l,جعل
ca'l,جعل
çâlâk,چالاک
çâlâk,چالاک
çâlâkî,چالاکی
çâlâkî,چالاکی
ca'lî,جعلی
ca'lî,جعلی
câlib,جالب
câlib,جالب
çâlik,چاليک
çâlik,چاليک
çâlpâre,چارپاره
çâlpâre,چارپاره
câm,جام
câm,جام
câme,جامه
câme,جامه
çâme,چامه
çâme,چامه
câmedân,جامه دان
câmedân,جامه دان
câmegî,جامگی
câmegî,جامگی
câmekan,جامکان
câmekan,جامکان
câmekan,جامکان
câmekan,جامکان
câmeşûy,جامه شوی
câmeşûy,جامه شوی
câmi',جامع
câmi',جامع
câmia,جامعه
câmia,جامعه
câmid,جامد
câmid,جامد
câmûs,جاموس
câmûs,جاموس
cân,جان
cân,جان
cânâ,جانا
cânâ,جانا
cânân,جانان
cânân,جانان
cânâne,جانانه
cânâne,جانانه
cânbâz,جانباز
cânbâz,جانباز
cândâr,جاندار
cândâr,جاندار
çâne,چانه
çâne,چانه
canefşân,جان افشان
canefşân,جان افشان
cânefzâ,جان افزا
cânefzâ,جان افزا
cânfersâ,جان فرسا
cânfersâ,جان فرسا
cânfeşân,جان فشان
cânfeşân,جان فشان
cânfezâ,جان فزا
cânfezâ,جان فزا
cângüdâz,جان گداز
cângüdâz,جان گداز
canhıraş,جان خراش
canhıraş,جان خراش
cânib,جانب
cânib,جانب
cânişin,جانشين
cânişin,جانشين
cânnisâr,جان نثار
cânnisâr,جان نثار
cânsipâr,جان سپار
cânsipâr,جان سپار
cânsiperâne,جان سپرانه
cânsiperâne,جان سپرانه
cânsitân,جان ستان
cânsitân,جان ستان
cânver,جان ور
cânver,جان ور
çâpâr,چاپار
çâpâr,چاپار
çâplûs,چاپلوس
çâplûs,چاپلوس
câr,جار
câr,جار
çâr,چار
çâr,چار
çâr,چار
çâr,چار
çârçûbe,چارچوبه
çârçûbe,چارچوبه
çardak,چارطاق
çardak,چارطاق
çârdeh,چارده
çârdeh,چارده
çâre,چاره
çâre,چاره
çârecû,چاره جو
çârecû,چاره جو
çâresâz,چاره ساز
çâresâz,چاره ساز
çâresâzî,چاره سازی
çâresâzî,چاره سازی
çârgâh,چارگاه
çârgâh,چارگاه
çârgûşe,چارگوشه
çârgûşe,چارگوشه
çarh,چرخ
çarh,چرخ
cârî,جارِ
cârî,جارِ
câriha,جارحه
câriha,جارحه
câriye,جاریه
câriye,جاریه
çarmıh,چارميخ
çarmıh,چارميخ
çârnâçâr,چارناچار
çârnâçâr,چارناچار
çârpâ,چارپا
çârpâ,چارپا
çârşeb,چارشب
çârşeb,چارشب
çârşenbe,چارشنبه
çârşenbe,چارشنبه
çârsû,چارسو
çârsû,چارسو
çârsû,چارسو
çârsû,چارسو
çârtâk,چارطاق
çârtâk,چارطاق
cârû,جارو
cârû,جارو
cârûb,جاروب
cârûb,جاروب
çârüm,چارم
çârüm,چارم
çâryâr,چاریار
çâryâr,چاریار
çâşni,چاشنی
çâşni,چاشنی
çâşnigîr,چاشنی گير
çâşnigîr,چاشنی گير
çâşt,چاشت
çâşt,چاشت
câsûsî,جاسوسی
câsûsî,جاسوسی
câvid,جاود
câvid,جاود
câvidân,جاودان
câvidân,جاودان
çay,چاى
çay,چاى
cây,جای
cây,جای
câygâh,جایگاه
câygâh,جایگاه
câyi',جایع
câyi',جایع
câynişîn,جاینشين
câynişîn,جاینشين
câzib,جاذب
câzib,جاذب
câzibe,جاذبه
câzibe,جاذبه
cazibedar,جاذبه دار
cazibedar,جاذبه دار
câzibiyyet,جاذبيت
câzibiyyet,جاذبيت
cebâbire,جبابره
cebâbire,جبابره
cebânet,جبانت
cebânet,جبانت
cebbâr,جبار
cebbâr,جبار
cebbârî,جباری
cebbârî,جباری
cebel,جبل
cebel,جبل
cebel,جبل
cebhe,جبهه
cebhe,جبهه
cebîn,جبين
cebîn,جبين
cebr,جبر
cebr,جبر
cebren,جبرا
cebren,جبرا
cebrî,جبری
cebrî,جبری
cedâvil,جداول
cedâvil,جداول
cedd,جد
cedd,جد
cedd,جد
cedel,جدل
cedel,جدل
cedelî,جدلی
cedelî,جدلی
cedî,جدی
cedî,جدی
cedîd,جدید
cedîd,جدید
cedîde,جدیده
cedîde,جدیده
cedvel,جدول
cedvel,جدول
cefâ,جفا
cefâ,جفا
cefâcû,جفاجو
cefâcû,جفاجو
cefâdîde,جفادیده
cefâdîde,جفادیده
cefâkâr,جفاکار
cefâkâr,جفاکار
cefâkârî,جفاکاری
cefâkârî,جفاکاری
cefâkeş,جفاکش
cefâkeş,جفاکش
cefâpîşe,جفاپيشه
cefâpîşe,جفاپيشه
cefcâf,جفجاف
cefcâf,جفجاف
ceffelkalem,جف القلم
ceffelkalem,جف القلم
cefr,جفر
cefr,جفر
çeğâle,چغاله
çeğâle,چغاله
çeh,چه
çeh,چه
cehâlet,جهالت
cehâlet,جهالت
çehâr,چهار
çehâr,چهار
cehd,جهد
cehd,جهد
cehele,جهله
cehele,جهله
cehennemî,جهنمی
cehennemî,جهنمی
cehl,جهل
cehl,جهل
çehre,چهره
çehre,چهره
cehren,جهرا
cehren,جهرا
çehreperdâz,چهره پرداز
çehreperdâz,چهره پرداز
çekâçâk,چکاچاک
çekâçâk,چکاچاک
çekîde,چکيده
çekîde,چکيده
çekûç,چکوچ
çekûç,چکوچ
celâdet,جلادت
celâdet,جلادت
celâl,جلال
celâl,جلال
celb,جلب
celb,جلب
celbnâme,جلب نامه
celbnâme,جلب نامه
celeb,جلب
celeb,جلب
celesât,جلسات
celesât,جلسات
celîl,جليل
celîl,جليل
çelîpâ,چليپا
çelîpâ,چليپا
celîs,جليس
celîs,جليس
cellâd,جلاد
cellâd,جلاد
cellâdî,جلادی
cellâdî,جلادی
celse,جلسه
celse,جلسه
cem',جمع
cem',جمع
çem,چم
çem,چم
cemâat,جماعت
cemâat,جماعت
cemâd,جماد
cemâd,جماد
cemâdât,جمادات
cemâdât,جمادات
cemâhîr,جماهير
cemâhîr,جماهير
cemâl,جمال
cemâl,جمال
cem'an,جمعا
cem'an,جمعا
cemel,جمل
cemel,جمل
çemen,چمن
çemen,چمن
çemenzâr,چمنزار
çemenzâr,چمنزار
cemî',جميع
cemî',جميع
cemî'an,جميعا
cemî'an,جميعا
cemil,جميل
cemil,جميل
cemîle,جميله
cemîle,جميله
cemiyet,جمعيت
cemiyet,جمعيت
cem'iyyât,جمعيات
cem'iyyât,جمعيات
cem'iyyet,جمعيت
cem'iyyet,جمعيت
cemm,جم
cemm,جم
cenâb,جناب
cenâb,جناب
cenâbet,جنابت
cenâbet,جنابت
cenâh,جناح
cenâh,جناح
çenâr,چنار
çenâr,چنار
cenb,جنب
cenb,جنب
çenber,چنبر
çenber,چنبر
çend,چند
çend,چند
çendan,چندان
çendan,چندان
cendere,جندره
cendere,جندره
çendin,چندین
çendin,چندین
ceng,جنگ
ceng,جنگ
çeng,چنگ
çeng,چنگ
çengâl,چنگال
çengâl,چنگال
cengâver,جنگاور
cengâver,جنگاور
cengâverî,جنگاوری
cengâverî,جنگاوری
cengcû,جنگجو
cengcû,جنگجو
cengel,جنگل
cengel,جنگل
çengî,چنگی
çengî,چنگی
cennât,جنات
cennât,جنات
cennet,جنت
cennet,جنت
cennetmekân,جنت مکان
cennetmekân,جنت مکان
cenûb,جنوب
cenûb,جنوب
cenûbî,جنوبی
cenûbî,جنوبی
çep,چپ
çep,چپ
çerâ,چرا
çerâ,چرا
cerâd,جراد
cerâd,جراد
çerâğ,چراغ
çerâğ,چراغ
çerâgâh,چراگاه
çerâgâh,چراگاه
çerâğân,چراغان
çerâğân,چراغان
cerâhat,جراحت
cerâhat,جراحت
cerâid,جرائد
cerâid,جرائد
cerâim,جرائم
cerâim,جرائم
çerâkese,چراکسه
çerâkese,چراکسه
çerb,چرب
çerb,چرب
cerbeze,جربزه
cerbeze,جربزه
çerbzebân,چرب زبان
çerbzebân,چرب زبان
ceres,جرس
ceres,جرس
cereyân,جریان
cereyân,جریان
cerge,جرگه
cerge,جرگه
cerh,جرح
cerh,جرح
çerh,چرخ
çerh,چرخ
cerîde,جریده
cerîde,جریده
cerîha,جریحه
cerîha,جریحه
cerîme,جریمه
cerîme,جریمه
çerm,چرم
çerm,چرم
cerrâh,جراح
cerrâh,جراح
cerrâhî,جراحی
cerrâhî,جراحی
cesâmet,جسامت
cesâmet,جسامت
cesâret,جسارت
cesâret,جسارت
cesîm,جسيم
cesîm,جسيم
cesîmülcüsse,جسيم الجثه
cesîmülcüsse,جسيم الجثه
çeşm,چشم
çeşm,چشم
çeşmân,چشمان
çeşmân,چشمان
çeşmderîde,چشم دریده
çeşmderîde,چشم دریده
çeşme,چشمه
çeşme,چشمه
cesûr,جسور
cesûr,جسور
çetr,چتر
çetr,چتر
cev,جو
cev,جو
cevâb,جواب
cevâb,جواب
cevâben,جوابا
cevâben,جوابا
cevâd,جواد
cevâd,جواد
cevâhir,جواهر
cevâhir,جواهر
cevâmi',جوامع
cevâmi',جوامع
cevâmid,جوامد
cevâmid,جوامد
cevâmîs,جواميس
cevâmîs,جواميس
cevân,جوان
cevân,جوان
cevânib,جوانب
cevânib,جوانب
cevârî,جواری
cevârî,جواری
cevâz,جواز
cevâz,جواز
cevdet,جودت iyilik
cevdet,جودت iyilik
cevelân,جولان
cevelân,جولان
cevelângâh,جولانگاه
cevelângâh,جولانگاه
cevf,جوف
cevf,جوف
çevgân,چوگان
çevgân,چوگان
cevher,جوهر
cevher,جوهر
cevherfürûş,جوهرفروش
cevherfürûş,جوهرفروش
cevherî,جوهری
cevherî,جوهری
cevîn,جوین
cevîn,جوین
cevir,جور
cevir,جور
cevr,جور
cevr,جور
cevşen,جوشن
cevşen,جوشن
cevv,جو
cevv,جو
cevvâl,جوال
cevvâl,جوال
cevvî,جوی
cevvî,جوی
cevzâ,جوزاء
cevzâ,جوزاء
ceyb,جيب
ceyb,جيب
çeyrek,چهاریک
çeyrek,چهاریک
ceyş,جيس
ceyş,جيس
ceyyid,جيد
ceyyid,جيد
cezâ,جزاء
cezâ,جزاء
cezâir,جزائر
cezâir,جزائر
cezâlet,جزالت
cezâlet,جزالت
cezb,جذب
cezb,جذب
cezbe,جذبه
cezbe,جذبه
cezer,جزر
cezer,جزر
cezîre,جزیره
cezîre,جزیره
cezm,جزم
cezm,جزم
cezzâb,جذاب
cezzâb,جذاب
cibâl,جبال
cibâl,جبال
cibillet,جبلت
cibillet,جبلت
cibilliyet,جبليت
cibilliyet,جبليت
cibilliyetsiz,جبلتسز
cibilliyetsiz,جبلتسز
cidâl,جدال
cidâl,جدال
cidâlcû,جدال جو
cidâlcû,جدال جو
cidâr,جدار
cidâr,جدار
cidden,جدا
cidden,جدا
ciddî,جدی
ciddî,جدی
ciddiyyet,جدیت
ciddiyyet,جدیت
cîfe,جيفه
cîfe,جيفه
ciger,جگر
ciger,جگر
cigergûşe,جگرگوشه
cigergûşe,جگرگوشه
cigerpâre,جگرپاره
cigerpâre,جگرپاره
cigersûz,جگرسوز
cigersûz,جگرسوز
çîgûne,چگونه
çîgûne,چگونه
çigûnegî,چگونگی
çigûnegî,چگونگی
cihâd,جهاد
cihâd,جهاد
cihân,جهان
cihân,جهان
cihânâferîn,جهان آفرین
cihânâferîn,جهان آفرین
cihandar,جهاندار
cihandar,جهاندار
cihandîde,جخان دیده
cihandîde,جخان دیده
cihangîr,جهانگير
cihangîr,جهانگير
cihangîrî,جهانگيری
cihangîrî,جهانگيری
cihângüşâ,جهانگشا
cihângüşâ,جهانگشا
cihânî,جهانی
cihânî,جهانی
cihannüma,جهان نما
cihannüma,جهان نما
cihâr,چهار
cihâr,چهار
çihâr,چهار
çihâr,چهار
cihâren,جهارا
cihâren,جهارا
çihârüdü,چهار و دو
çihârüdü,چهار و دو
çihârüse,چهار و سه
çihârüse,چهار و سه
çihârüyek,چهار و یک
çihârüyek,چهار و یک
çihar yâr,چهاریار
çihar yâr,چهاریار
cihât,جهات
cihât,جهات
cihâz,جهاز
cihâz,جهاز
cihet,جهت
cihet,جهت
çihil,چهل
çihil,چهل
çihilpâ,چهل پا
çihilpâ,چهل پا
çihre,چهره
çihre,چهره
çil,چل
çil,چل
cilâ,جلاء
cilâ,جلاء
cilâdar,جلادار
cilâdar,جلادار
cild,جلد
cild,جلد
çile,چله
çile,چله
çilekeş,چله کش
çilekeş,چله کش
cilve,جلوه
cilve,جلوه
cilvegâh,جلوه گاه
cilvegâh,جلوه گاه
cilveger,جلوه گر
cilveger,جلوه گر
cilvesâz,جلوه ساز
cilvesâz,جلوه ساز
cimâ',جماع
cimâ',جماع
çimen,چمن
çimen,چمن
çîn,چين
çîn,چين
cinâ'î,جنائی
cinâ'î,جنائی
cinân,جنان
cinân,جنان
cinayetkâr,جنایتکار
cinayetkâr,جنایتکار
cinâze,جنازه
cinâze,جنازه
cindar,جندار
cindar,جندار
cinnet,جنت
cinnet,جنت
cins,جنس
cins,جنس
cinsî,جنسی
cinsî,جنسی
çirâğ,چراغ
çirâğ,چراغ
çîredest,چيره دست
çîredest,چيره دست
çirk,چرک
çirk,چرک
çirkâb,چرک آب
çirkâb,چرک آب
çirkîn,چرکين
çirkîn,چرکين
cirm,جرم
cirm,جرم
cism,جسم
cism,جسم
cismânî,جسمانی
cismânî,جسمانی
cismen,جسما
cismen,جسما
cisr,جسر
cisr,جسر
civan,جوان
civan,جوان
civânân,جوانان
civânân,جوانان
civanbaht,جوان بخت
civanbaht,جوان بخت
civânî,جوانی
civânî,جوانی
civânmerd,جوانمرد
civânmerd,جوانمرد
civâr,جوار
civâr,جوار
cîve,جيوه
cîve,جيوه
çîz,چيز
çîz,چيز
cizye,جزیه
cizye,جزیه
cû,جو
cû,جو
cû,جو
cû,جو
cû',جوش
cû',جوش
çûb,چوب
çûb,چوب
çûbân,چوبان
çûbân,چوبان
çûbek,چوبک
çûbek,چوبک
cübn,جبن
cübn,جبن
cûce,جوجه
cûce,جوجه
cûd,جود
cûd,جود
cüdâ,جدا
cüdâ,جدا
cüdâyî,جدایی
cüdâyî,جدایی
cüdrân,جدران
cüdrân,جدران
cüft,جفت
cüft,جفت
cüfte,جفته
cüfte,جفته
cuğd,جغد
cuğd,جغد
cühelâ,جهلاء
cühelâ,جهلاء
cühhâl,جهال
cühhâl,جهال
cûlâh,جولاه
cûlâh,جولاه
cüllâh,جلاه
cüllâh,جلاه
cülûs,جلوس
cülûs,جلوس
cülûsiyye,جلوسيه
cülûsiyye,جلوسيه
cum'a,جمعه
cum'a,جمعه
cümcüme,جمجمه
cümcüme,جمجمه
cümel,جمل
cümel,جمل
cumhûr,جمهور
cumhûr,جمهور
cumhûrî,جمهوری
cumhûrî,جمهوری
cumhûriyyet,جمهوریت
cumhûriyyet,جمهوریت
cümle,جمله
cümle,جمله
cümleten,جملة
cümleten,جملة
cümûd,جمود
cümûd,جمود
cümûdiyye,جمودیه
cümûdiyye,جمودیه
çun,چون
çun,چون
çün,چن
çün,چن
cünbân,جنبان
cünbân,جنبان
cünbiş,جنبش
cünbiş,جنبش
cünd,جند
cünd,جند
cündî,جندی
cündî,جندی
cünha,جنحه
cünha,جنحه
çünki,چونکه
çünki,چونکه
cünûd,جنود
cünûd,جنود
cürm,جرم
cürm,جرم
cürûf,جروف
cürûf,جروف
cûş,جوش
cûş,جوش
cûşâcûş,جوشاجوش
cûşâcûş,جوشاجوش
cûşân,جوشان
cûşân,جوشان
cûşiş,جوشش
cûşiş,جوشش
cüsse,جثه
cüsse,جثه
çüst,چست
çüst,چست
çüstî,چستی
çüstî,چستی
cüstücû,جست و جو
cüstücû,جست و جو
cüvâl,جوال
cüvâl,جوال
çüvâl,چوال
çüvâl,چوال
çüvaldûz,چوالدوز
çüvaldûz,چوالدوز
cûy,جوی
cûy,جوی
cûy,جوی
cûy,جوی
cûybâr,جویبار
cûybâr,جویبار
cûyende,جوینده
cûyende,جوینده
cüz',جزء
cüz',جزء
cüzâm,جذام
cüzâm,جذام
cüzdan,جزئدان
cüzdan,جزئدان
cüz'î,جزئی
cüz'î,جزئی
cüz'iyyât,جزئيات
cüz'iyyât,جزئيات
dâd,داد
dâd,داد
dâd,داد
dâd,داد
dâdgâh,دادگاه
dâdgâh,دادگاه
dâdhâh,دادخواه
dâdhâh,دادخواه
dâdres,دادرس
dâdres,دادرس
dâdû,دادو
dâdû,دادو
dâdüferyâd,دادوفریاد
dâdüferyâd,دادوفریاد
dâdüsited,داد و ستد
dâdüsited,داد و ستد
dâfi',دافع
dâfi',دافع
dâğ,داغ
dâğ,داغ
dağal,دغل
dağal,دغل
dağalbâz,دغل باز
dağalbâz,دغل باز
dağdağa,دغدغه
dağdağa,دغدغه
dahi,دخي
dahi,دخي
dâhî,داهی
dâhî,داهی
dâhil,داخل
dâhil,داخل
dâhile,داخله
dâhile,داخله
dâhilen,داخلا
dâhilen,داخلا
dâhilî,داخلی
dâhilî,داخلی
dâhiliye,داخليه
dâhiliye,داخليه
dahl,دخل
dahl,دخل
dahme,ضخمه
dahme,ضخمه
dâ'î,داعی
dâ'î,داعی
dâim,دائم
dâim,دائم
dâimî,دائمی
dâimî,دائمی
dâir,دائر
dâir,دائر
dâire,دائره
dâire,دائره
dâirenmâdâr,دائرا مادار
dâirenmâdâr,دائرا مادار
dâirevî,دائروی
dâirevî,دائروی
dâirezen,دائره زن
dâirezen,دائره زن
dâiye,داعيه
dâiye,داعيه
dakâyık,دقایق
dakâyık,دقایق
dakîk,دقيق
dakîk,دقيق
dakîka,دقيقه
dakîka,دقيقه
dalâlet,ضلالت
dalâlet,ضلالت
dâll,دال
dâll,دال
dâlle,ضاله
dâlle,ضاله
dâm,دام
dâm,دام
dâmâd,داماد
dâmâd,داماد
dâmân,دامان
dâmân,دامان
dâmen,دامن
dâmen,دامن
dâmenâlûde,دامن آلوده
dâmenâlûde,دامن آلوده
dâmenbûs,دامن بوس
dâmenbûs,دامن بوس
dâmene,دامنه
