a,آ
Florya,فلوريه
flaş,فلوش
flört,فلورت
fob,فوب
foça,فوچه
fodla,فودلا
fodra,فودرا
fodul,فضول
fokurdamak,فوقوردامق
fokurdatmak,فوقورداتمق
fokurfokur,فوقورفوقور
fol,فول
folklor,فولقلور
folluk,فوللق
fonograf,فونوغراف
fonografi,فونوغرافى
forma,فورما
formalite,فورماليته
formol,فورمول
formül,فورمول
fors,فورس
forum,فوروم
fosfor,فوسفور
fosurdatmak,فوصورداتمق
fosurfosur,فوصورفوصور
fotoğraf,فوطوغراف
fotoğrafcı,فوطوغرافجي
foya,فويا
francala,فرانجله
francalacı,فرانجله‌جي
frak,فراق
fraklı,فراقلى
frank,فرانق
Fransa,فرانسه
Fransalı,فرانسه‌لى
fransızca,فرانسزجه
fren,فره‌ن
frengi,فرنگى
frengili,فرنگيلى
Frengistan,فرنگستان
Frenk,فرنك
freze,فره‌ذه
friksiyon,فريكسيون
fudalâ,فضلا
fuhşiyat,فحشيات
fuhuş,فحش
fukara,فقرا
ful,فول
fulya,فوليا
fulyabalığı,فولياباليغى
funda,فوندا
fundalık,فوندالق
furgan,فورغون
futa,فوطه
futbol,فودبول
fuzûlen,فضولاً
fuzûli,فضولى
fısku fücûr,فسق وفجور
fünûn,فنون
Fürs,فرس
fürû,فروع
füsûn,فسون
fütur,فتور
fütühat,فتوحات
fütüvvet,فتوّت
fütüvvetli,فتوتلى
fütüvvetlû,فتوتلو
gabardin,غاباردين
gabâvet,غباوت
gabi,غبى
gaddâr,غدار
gaddarlık,غدارلق
gadretmek,غدرايتمك
gadir,غدر
gaffâr,غفار
gâfil,غافل
gaflet,غفلت
gafleten,غفلة
gafûr,غفور
gaga,غاغا
gagalamak,غاغالامق
gagalaşmak,غاغالاشمق
gâh,گاه
gâhi,گاهى
gâile,غائله
gâileli,غائله‌لي
gâilesiz,غائله‌سز
galat,غلط
galebe,غلبه
galeri,غاله‌رى
galeta,غاله‌تا
galeta,غالطه
galeyan,غليان
gâlib,غالب
gâlibâ,غالبا
gâlibâne,غالبانه
gâlibiyet,غالبيت
gâliz,غليظ
galon,غالون
galvanize,غالوانيزه
galvanizm,غالوانيزم
galvanometre,غالوانومتره
galvanoplâsti,غالوانوپلاستى
gam,غم
gamızlamak,غمزلامق
gamlanmak,غملانمق
gamlı,غملى
gammâz,غماز
gammazlık,غمازلق
gamsız,غمسز
gamze,غمزه
ganâim,غنائم
ganî,غنى
gar,غار
garâbet,غرابت
garâib,غرائب
garaj,غاراژ
garanti,غارانتى
garaz,غرض
garazkâr,غرضكار
garazkârlık,غرصكارلق
garazsiz,غرضسز
garb,غرب
garben,غرباً
garbi,غربى
Garbi Karaağaç,غربى قره‌آغاچ
garbli,غربلى
gardenparti,غارده‌ن پارتى
gardfren,غاردفرن
gardiyan,غارديان
gardiyanlık,غارديانلق
gardrop,غاردروب
gargar,غارغار
gargara,غرغرء
garib,غريب
garibe,غريبه
gariblik,غريبلك
garibsemek,غريبسه‌مك
gark,غرق
Garzan,غارزان
gasb,غصب
gâsıb,غاصب
gasil,غسل
gaşyolmak,غشى اولمق
gavâmız,غوامض
gâvur,گاور
gayb,غيب
gaybî,غيبى
gaybûbet,غيبوبت
gâye,غايه
gâyet,غايت
gâyetle,غايتله
gayr,غير
gayret,غيرت
gayretkeş,غيرتكش
gayretkeşlik,غيرتكشلك
gayretlenmek,غيرتلنمك
gayretli,غيرتلى
gayretsiz,غيرتسز
gayretsizlik,غيرتسزلك
gayrı,غيرى
gayriilmi,غيرعملى
gayrikaabil,غيرقابل
gayrikabil,غيرقابل
gayrikâfi,غيركافى
gayrimahsus,غيرمحسوس
gayrimemnun,غيرممنون
gayrimemnun,غيرممنون
gayrimümkün,غيرممكن
gayriyâki,غيرواقع
gâvurluk,گاورلق
gayyur,غيور
gayz,غيظ
gaz,غاز
gazâ,غزا
gazab,غضب
gazablandırmak,غضبلانديرمق
gazablı,غضبلى
gazanfer,غضنفر
gazaplanmak,غضپلانمق
gazel,غزل
gazeliyât,غزليات
gazete,غزته
gazeteci,غزته‌جي
gazetecilik,غزته‌جيلك
gâzî,غازى
Gâzi Anteb,غازى عينتاب
gâzilik,غازيلك
gazino,غازينو
gazino,قازينو
gazinocu,غازتنوجي
gazlı,غازلى
gazometre,غازومتره
gazoz,غازوز
gazub,غضوب
gazve,غزوه
gebe,گبه
gebelik,گبه‌لك
gebermek,گبرمك
gebertmek,گبرتمك
gebeş,گبش
Gebze,گبزه
gece,گيجه
gecebaskını,گيجه‌باسقينى
gecegündüz,گيجه‌گوندوز
gecekuşu,گيجه‌قوشى
gecelemek,گيجه‌لمك
geceli,گيجه‌لی
geceligündüzlü,گيجه‌لی گوندوزلی
gecelik,گيجه‌لك
gecesafa,گيجه‌صفا
geceyanığı,گيجه‌يانيغي
geceyarısı,گيجه‌ياريسي
geceyatısı,گيجه‌ياتيسى
gecikme,گجيكمه
gecikmek,گجيكمك
geç,گج
geçeklik,گرچكلك
geçenlerde,گرچنلرده
geçer,گچر
geçici,گچيجي
geçilmez,گچيلمز
geçim,گچيم
geçimsiz,گچيمسز
geçindirmek,گچينديرمك
geçinecek,گچينه‌جك
geçinme,گچينمه
geçinmek,گچينمك
geçirilmek,گچيريلمك
geçirmek,گچيرمك
geçirtmek,گچيرتمك
geçişdirmek,گچيشديرمك
geçit,گچيد
geçitresmi,گچيدرسمى
geçgin,گچكين
geçme,گچمه
geçmek,گچمك
geçmez,گچمز
geçmiş,گچمش
geçen,گچن
gedik,گديك
gedikli,گديكلى
Gedis,گدوس
geğirmek,كگيرمك
geğrek,كگرك
geğrekaltı,كگرك آلتى
geğrekbatma,كگرك باتمه
geğirme,كگرمه
gelberi,گلبرى
gele,گله
gelecek,گله‌جك
gelen,گلن
gelenbe,گلنبه
Gelibolu,گليبولى
gelme,گلمه
gelmek,گلمك
gelin,گلين
gelince,گلنجه‌
gelincik,گلينجك
gelincikbalığı,گلينجك باليغى
gelincikilleti,گلينجك علتى
gelinfeneri,گلين فنارى
gelinhavası,گلين هواسىى
gelinkuşu,گلينقوشى
gelinlik,گلينلك
gelinsaçı,گلين ساچى
gelir,گلير
geliş,گليش
gelişigüzel,گليشى كوزل
gelişmek,گليشمك
gem,گم
gemi,گمى
gemici,گميجي
gemicilik,گميجيلك
Gemlik,گمليك
gen,گڭ
gencelmek,گنجلمك
genç,گنج
Genç,گنج
gençleşmek,گنجلشمك
gençlik,گنجلك
gene,گنه
gene,ينه
general,جنرال
generallik,جنراللك
geniş,گنيش
geniş,گڭيش
genişgönüllü,گنيش گوڭللى
genişlemek,گنيشله‌مك
genişlenmek,گنيشله‌نمك
genişletmek,گنيشله‌تمك
genişlik,گنيشلك
geniz,گڭيز
gerçek,گرجك
gerçekçi,گرجكجي
gerçekden,گرجكدن
gerçekleşdirmek,گرجكلشديرمك
gerçekleşmek,گرجكلشمك
gerçi,گرچه
Gercüş,گرجوش
gerdan,گردان
gerdâniye,گردانيه‌
gerdankıran,گردان قيران
gerdanlık,گردانلق
gerdek,گردك
gerdirmek,گرديرمك
Gerede,گره‌ده
gerek,گرك
gereklik,گركلك
gerekmek,گركمك
geren,گرن
Gereze,كره‌زه
gergef,گرگف
gergi,گرگى
gergin,گركين
gerginlik,گرگينلك
geri,گرى
geri,گرو
gerialmak,گرى آلمق
geridönmek,گرى دونمك
geridurmak,گرى طورمك
gerigelmek,گرى كلك
gerigitmek,گرى كيتمك
gerikalmak,گرى قالمق
gerikomak,گرى قومق
gerileme,گريله‌مك
gerili,گريلىى
gerilla,گه‌ريللا
gerilme,گرلمه
gerilmek,گرلمك
gerinmek,گرنمك
gerivermek,گرى ويرمك
germ,گرم
germek,گرمك
geştügüzar,گشت‌وگذار
getirilmek,گتيريلمك
getirmek,گتيرمك
getirtmek,گتيرتمك
getirtilmek,گتيرتيلمك
Gevar,گوار
Gevaş,گواش
geveze,گوه‌زه
geveze,گوزه
gevezelik,گوه‌زه‌لك
gevher,گوهر
geviş,گويش
geviş,گيويش
gevmek,گومك
gevmek,گيومك
gevrek,گوره‌ك
gevrek,گورك
gevrekçi,گوركجي
gevremek,گوره‌مك
gevretmek,گورتمك
gevretmek,گوره‌تمك
gevşeklik,گوشكلك
gevşelmek,گوشليمك
gevşeltmek,گوشلتمك
gevşemek,گوشه‌مك
gevşetilmek,گوشتيلمك
gevşetmek,گوشتمك
geyik,گييك
Geyve,گيوه
gezdirmek,گزديرمك
gezer,گزر
gezi,گزى
gezici,گزيجي
gezicilik,گزيجيلك
gezinmek,گزينمك
gezinti,گزينتي
gezme,گزمه
gezmek,گزمك
gıbta,غبطه
gıcık,غيجيق
gıcık,گيجيك
gıcır,غيجير
gıcırdamak,غيجيردامق
gıcırdatmak,غيجيرداتمق
gıcırgıcır,غيجيرغيجير
gıcırtı,غيجيرتي
gıdâ,غدا
gıdâî,غدائي
gıdâlandırmak,غدالانديرمق
gıdâlanmak,غدالانمق
gıdâlı,غدالى
gıdâsız,غداسز
gıdık,غيديق
gıdıklamak,غيديقلامق
gıdıklanma,غيديقلانمه
gıdıklanmak,غيديقلانمق
gıllügış,غل‌وغش
gılzat,غلظت
gınâ,غنا
gırgır,غيرغير
gırtlak,غيرتلاق
gışâ,غشا
gıyâben,غياباً
gıyâbî,غيابى
gıybet,غيبت
gıybetçi,غيبتجى
gibi,گبى
gidi,گيدى
gidi,گدى
gidilmek,گيديلمك
gidiş,گيديش
gidişmek,گيديشمك
gidişmek,گيجيشمك
giderayak,گيدرآياق
gidermek,گيدرمك
gil,گل
gil,گيل
gil,گيل
giran,گران
girdap,گرداب
girdibat,گردباد
Giresun,كيره‌سون
girgin,گيرگين
girginlik,گيرگينلك
girift,گريفت
girift,گرفت
giriftâr,گرفتار
girilmek,گيريلمك
girinti,گيرينتى
girintili,گيرينتيلى
giriş,گيريش
girişli,گيريشلى
girişmek,گيريشمك
girme,گيرمه
girmek,گيرمك
Girit,گريد
Giritli,گريدلى
giryan,گريان
girye,گريه
girizgâh,گريزگاه
gişe,گيشه
gitgide,گيت‌گيده
gitmek,گيتمك
giydirmek,گيديرمك
giyilmek,گيلمك
giyim,گيم
giyinmek,گيينمك
giymek,گييمك
giyotin,گييوتين
gizlemek,گيزله‌مك
gizlenmek,گيزلنمك
gizli,گيزلى
gizlice,گيزليجه
gliserin,غليسرين
gliserinli,غليسرينلى
glükoz,غلوقوز
glükoz,غليقوز
glükozüri,غلوقوزورى
glüten,غلوتن
gocuk,غوجوق
gol,غول
golf,غولف
gonca,غنجه
gonk,غونق
goril,غوريل
göbek,گوبك
göbeklenmek,گوبكله‌نمك
göbekli,گوبكلى
göbektaşı,گوبك طاشى
göbelez,گوبلز
göç,گوچ
gçebe,گوچوبه
göçen,گوچن
göçer,گوچر
göçeri,گوچرى
göçerkonar,گوچرقونار
göçmek,گوچمك
göçürmek,گوچورمك
göğüs,گوگس
göğüsçukuru,گوگس چوقورى
göğüsdarlığı,گوكس دارلغى
göğüsgermek,گوگس كرمك
göğüsilleti,گوگس علتى
göğüslemek,گوگسله‌مك
göğüstahtası,گوگس تحته‌سى
göğüslü,گوگسلى
göğüslük,گوگسللك
gök,گوك
gökçe,گوكجه
gökelâ,گوك‌الا
göklük,گوكلك
Göksun,گوكسون
göl,گول
gölyatağı,گول يآاغى
gölbaşı,گول باشى
Göle,گوله
gölge,گولگه
gölgealtı,گولگه‌آلتى
gölgelendirmek,گولگه‌لنديرمك
gölgelenmek,گولگه‌لنمك
gölgeli,گولگه‌لى
gölgelik,گولگه‌لك
gölkestanesi,گول كستانه‌سى
gölotu,گول اوتى
Gölpazarı,گولپازارى
gömlekçi,گوملكجى
gömleklik,گوملكلك
gömme,گوممه
gömmek,گوممك
gömülmek,گوملمك
gömülmek,گومولمك
gömülü,گومولو
gön,گون
gönderme,گوندرمه
göndermek,گوندرمك
gönderilmek,گوندريلمك
gönderiş,گوندريش
göndertmek,گوندرتمك
Gönen,گونان
gönlüaçık,گوڭلي آچيق
gönlükara,گوڭلى قارا
gönlütez,گوڭلى تز
gönül,گوڭل
gönükaçıklığı,گوڭل آجيقلغى
gönüldarlığı,گوڭل دارلغى
gönüllü,گوڭللى
gönülsüz,گوڭلسز
gönülsüzlük,گوڭلسزلك
gönye,گونيه
Gördes,گوردوس
gördürmek,گورديرمك
göre,گوره
Görele,گوره‌له
görenek,گوره‌نك
görenekli,گوره‌نكلى
göreneksiz,گوره‌نكسز
görgü,گورگو
görgülü,گورگولى
görgüsüz,گورگوسز
görgüsüzlük,گورگوسزلك
görme,گورمه
görmece,گورمه‌جه
görmek,گورمك
görmemezlik,گورمه‌مزلك
görmez,گورمز
görücü,گوروجي
görücülük,گوروجيلك
görülme,گورولمه
görülmek,گورولمك
görüm,گوروم
görümce,گورومجه
görümlük,گوروملك
görünmek,گورونمك
görünmez,گورونمز
görünüş,گورونيش
görüş,گوروش
görüşdürmek,گوروشديرمك
görüşme,گوروشمه
görüşmek,گوروشمك
görüşülmek,گوروشلمك
gösterilmek,گوستريلمك
gösteriş,گوستريش
gösterişli,گوستريشلى
gösterişsiz,گوستريشسز
gösterişsizlik,گوستريشسزلك
göstermek,گوسترمك
göstertmek,گوسترتمك
götürtmek,گوتورتمك
götürü,گوتورى
götürülmek,گوتورولمك
götürme,گوتورمه
götürmek,گوتورمك
gövde,گوگده
gövdeli,گوگده‌لى
göynük,گوينوك
Göynük,گونيك
göz,گوز
gözaçıklığı,گوزآچيقلغى
gözağrısı,گوزآغريسى
gözakı,گوزآقى
gözbağı,گوزباغى
gözbağıcı,گوزباغيجي
gözbağıcılık,گوزباغيجيلق
gözbebeği,گوزببگى
gözcü,گوزجي
gözcülük,گوزجيلك
gözdağı,گوزداغى
gözde,گوزده
gözeme,گوزه‌مه
gözemek,گوزه‌مك
gözen,گوزن
gözenmek,گوزه‌نمك
gözer,گوزر
gözevi,گوزاوى
gözetdirmek,گوزتديرمك
gözetilmek,گوزتيلمك
gözetlemek,گوزتله‌مك
gözetme,گوزتمه
gözetmek,گوزتمك
gözgöre,گوزكوره
gözhapsi,گوزحپسى
gözkapağı,گوز قاپاغى
gözkararı,گوزقرارى
gözkarası,گوزقاراسى
gözkırpma,گوزقيرپه‌
gözkırpma,گوزقيپه
gözkuyruğu,گوزقويروغى
gözleme,گوزله‌مه
gözlemci,گوزله‌مه‌جي
gözlemek,گوزله‌مك
gözotu,گوزاوتى
gözpınarı,گوزپيڭارى
gözsüz,گوزسز
gözsüzlük,گوزسزلك
göztaşı,گوزطاشى
gözüaçık,گوزى آچيق
gözüardında,گوزى آردنده
gözüarkada,گوزى آرقه‌ده
gözükapalı,گوزى قاپالى
gözükara,گوزى قارا
gözükmek,گوزوكمك
gözükmek,گوزيكمك
gözüpek,گوزى پك
gözütok,گوزى طوق
gözlü,گوزلى
gözlük,گوزلك
gözlükçü,گوزلكجى
gözlüklü,گوزلكلى
grafik,غرافيك
gram,غرام
gramofon,غراموفون
granit,غرانيت
grev,غره‌و
"grevci ",غرء وجي
gudde,غده
guddeli,غده‌لى
gufran,غفران
gulâm,غلام
gulgule,غلغله
gûnâ,گونا
gûnâgûn,گوناگون
gusül,غسل
gusülhâne,غسلخانه
guguk,غوغوق
guguklu,غوغوقلى
gurk,غورق
gurklamak,غورقلامق
gurktavuk,غورق طاوق
gunne,غنه
gunneli,غنه‌لى
gurabâ,غربا
gurbet,غربت
gurub,غروب
guruldamak,غورولدامق
gurultu,غورولتى
gurûr,غرور
gururlanmak,غرورلانمق
gururlu,غرورلى
gûya,گويا
gübre,گوبره
gübrelemek,گوبره‌له‌مك
gübrelenmek,گوبره‌له‌نمك
gübreli,گوبره‌لى
gücendirmek,گوجنديرمك
gücenme,گوجنمه
gücenmek,گوجنمك
gücenik,گوجنيك
güceniklik,گوجنيكلك
gücenilmek,گوجننيلمك
gücük,گوجوك
güç,گوج
güçle,گوجله‌
güçle,كوج ايله
güçlendirmek,گوجلنديرمك
güçlenmek,گوجلنمك
güçleşdirmek,گوجلشديرمك
güçleşmek,گوجلشمك
güçlü,گوجلى
güçlük,گوجلك
güçsümek,گوجسيمك
güçsünmek,گوجسينمك
güçsüz,گوچسز
güçsüzlük,گوچسزلك
güden,گودن
güderi,گودرى
güdük,گودوك
güfte,گفته
güftüğü,گفت‌وگو
güğüm,گوگوم
güher,گهر
güherçile,گهرجله
gül,گل
gülbahçesi,گل باعچه‌سى
gülbank,گلبانك
gülbayramı,گل بايرامى
gülbeşeker,گلبشكر
gülçehreli,گل چهره‌لى
güldemeti,گل دمتى
güldürmek,گلديرمك
güldürücü,گلديريجي
güler,گولر
güleryüzlü,گولريوزلى
güleş,گولش
gülistan,گلستان
gülkurusu,گل قوروسى
güllâbi,گلابى
güllâbi,گوللابى
güllâç,گلاچ
gülle,گله‌
gülle,گولله‌
güllü,گللى
güllük,گللك
gülme,گولمه
gülmek,گولمك
gülmez,گولمز
Gülnar,گولنار
gülrengi,گل رنكى
gülsuyu,گل صوبى
gülümsemek,گولومسه‌مك
gülünç,گولونج
gülüş,گولوش
gülüşmek,گولوشمك
gülyağı,گل‌باغى
gülyanaklı,گل يناقلى
gülyaprağı,گل ياپراغى
gülyüzlü,گل يوزلى
gülzâr,گلزار
güm,گوم
gümbürdemek,گومبورده‌مك
gümbürgümbür,گومبورگومبور
gümbürtü,گومبورتى
gümbürtülü,گومبورتيلى
gümgüm,گوم‌گوم
gümrük,گومروك
gümrük,گمرك
gümrükçü,گومروكجى
gümüş,گوموش
gümüş,گومش
gümüşbalığı,گوموش باليغى
gümüşgöz,گوموش كوز
Gümüşhacıköy,گموش حاجى‌كوى
Gümüşhane,گموشخانه
gümüşlemek,گوموشله‌مك
gümüşletmek,گوموشله‌تمك
gümüşlü,گوموشلى
gümüşselvi,گوموش سلوى
gümüşsuyu,گوموش صويى
gün,گون
günah,گناه
günahkâr,گناهكار
günahkârlık,گناهكارلق
günahlı,گناهلى
günahsız,گناهسز
günahsızlık,گناهسزلق
günaşırı,گون آشيرى
günbalığı,گون باليغى
günbatısı,گون باتيسى
gündelik,گونده‌لك
gündelikci,گونده‌لكجى
gündelikli,گونده‌لكلى
gündengüne,گوندن كونه
gündoğrusu,گون دوغريسى
gündoğuşu,گون دوغوشی
gündüz,گوندوز
gündüzlü,گوندوزلى
gündüzlük,گوندوزلك
gündüzün,گوندوزين
güneş,گونش
güneşlenmek,گونشله‌نمك
güneşletmek,گونشله‌تمك
güney,گونه‌ى
güngörmez,گون گورمز
günlük,گونلك
günübirlik,گونى برلك
günügününe,گونى گوننه
günülemek,گونيله‌مك
güpegündüz,گوپه‌كوندوز
gür,گور
gürbüz,گوربوز
gürbüzlük,گوربوزلك
Gürcistan,گورجستان
Gürcistan,گرجستان
Gürcü,گورجى
Gürcü,گرجي
güreş,گورش
güreşçi,گوره‌شجي
güreşdirmek,گوره‌شديرمك
güreşme,گوره‌شمه
güreşmek,گوره‌شمك
gürgen,گورگن
gürgür,گورگور
gürleme,گورله‌مه
gürlemek,گورله‌مك
güruh,گروه
gürüldemek,گورولده‌مك
gürülgürül,گورول‌گورول
gürültü,گورولتى
gürültücü,گورولتوجى
gürültülü,گورولتيلى
gürültüsüz,گورولتيسز
Gürün,گرون
gürz,گرز
gütmek,گوتمك
güve,گووه‌
güve,گوگه
güvenilmek,گوگنلمك
güveniş,گوگنيش
güvenme,گوگنمه
güvenmek,گوگنمك
güveotu,گوگه‌اوتى
güvercin,گوورجين
güvercin,گوگرجين
güvercinbudu,گوگرجين بودى
güvercingerdanı,گوگرجين گردانى
güvercinlik,گوگرجينلك
güvercinotu,گوگرجين اوتى
güverte,گوگرته
güverteli,گوگرته‌لى
güvey,گوگى
güveyeniği,گوگه‌ينيكى
güveyfeneri,گوگى فنارى
güveylik,گوگيلك
güzel,گوزل
güzellemek,گوزلله‌مك
güzellenmek,گوزللنمك
güzelleşdirmek,گوزللشديرمك
güzelleşmek,گوزللشمك
güzellik,گوزللك
güzeran,گذران
güzergâh,گذرگاه
güzeşte,گذشته
güzîde,گزيده
ha,ها
habâset,خباثت
habbe,حبه
habeş,حبش
habeşi,حبشى
haber,خبر
haberdâr,خبردار
haberleşmek,خبرله‌شمك
habire,هابره
habis,خبيث
habsetmek,حبس ايتمك
habtetmek,حبط ايتمك
hac,حج
hacâlet,خجالت
hacamat,حجامت
haccetmek,حج ايتمك
hâcet,حاجت
hacı,حاجى
hacılaryolu,حاجيلريولى
hacim,حجم
hacir,حجر
hâciz,حاجز
hacmen,حجماً
haç,خاچ
haç,هاچ
haçvâri,خاجوارى
had,حد
hadde,حده
hâdde,حاده
hademe,خدمه
hadım,خادم
hadımağası,خادم آغاسى
hadımlık,حادملق
hadi,هادى
hâdim,خادم
hadis,حديث
hâdis,حادث
hâdise,حادثه
hadsiz,حدسز
hafakan,خفقان
hâfız,حافظ
hâfıza,حافظه
hafi,خفى
hafid,حفيد
hafif,خفيف
Hafik,حافيق
hafiye,خفيه
hafiyyen,خفياً
hafriyat,حفريات
hafta,هفته
haftabaşı,هفته‌باشى
haftalık,هفته‌لق
haftalıklı,هفته‌لقلى
hah,هاه
haham,خاخام
hahambaşı,خاخام باشى
hahamlık,خاخاملق
hâhiş,خواهش
hâil,حائل
hâile,هائله
hâin,خائن
hâinleşmek,خائشله‌شمك
hâinlik,خائنلك
hak,حق
hâk,حك
hâkaan,خاقان
hâkan,خاقان
hakaaret,حقارت
hakaret,حقارت
hakbin,حقبين
hakem,حكم
hakemî,حكمى
haketmek,حك ايتمك
hâkezâ,هكذا
hakgû,حقگو
hâkî,خاكى
hâkî,حاكى
hakîkat,حقيقت
hakîkaten,حقيقةً
hakîkatli,حقيقتلى
hakîkatsiz,حقيقتسز
hakîkatsizlik,حقيقتسزلك
hakîkî,حقيقی
hâkim,حاكم
hakîm,حكيم
hâkimiyet,حاكميت
hâkimlik,حاكملك
hakir,حقير
hakkaaniyet,حقانيت
hakkaniyet,حقانيت
hakkaaniyetli,حقانيتلى
hakkaniyetli,حقانيتلى
hakkaaniyetsizlik,حقانيتسزلك
hakkaniyetsizlik,حقانيتسزلك
hakkâk,حكاك
Hakkâri,حكارى
hakketmek,حق ايتمك
hakkında,حقنده
haklamak,حقلامق
haklaşmak,حقلاشمق
haklı,حقلى
hakperest,حقپرست
haksız,حقسز
haksızlık,حقسزلق
hakşinâs,حقشناس
hakşinaslık,حقشناسلق
hal,حل
hâl,حال
hal,هال
hala,خاله
hâlâ,حالا
halâ,خلا
halâs,خلاص
halâskâr,خلاصكار
halat,خلاط
halâvet,حلاوت
halâvetli,حلاوتلى
halâvetsiz,حلاوتسز
halayık,خلاييق
halbuki,حالبوكه
haldaş,حالداش
hâle,هاله
halef,خلف
halel,خلل
hâlen,حالاً
hâlet,حالت
haletmek,خلع ايتمك
halı,خالى
halıcı,خاليجى
halıcılık,خاليجيلق
hâli,خالى
haliç,خليج
halife,خليفه
Hâlık,خالق
halîle,خليله
halim,حليم
hâlis,خالص
halisâne,خالصانه
halita,خليطه
halk,خلق
halka,حلقه
halkalı,حلقه‌لى
halkavi,حلقوى
hallaç,حلاج
hallaçlık,حلاجلق
hallenmek,حاللانمق
halleşmek,حاللاشمق
halletmek,حل ايتمك
hallice,حالليجه
halt,خلط
haltetmek,خلط ايتمك
halûk,خلوق
halvet,خلوت
halveti,خلوتى
ham,خام
hamâil,حمائل
hamâkat,حماقت
hamal,حمال
hamâliye,حماليه
hamallık,حماللق
hamam,حمام
hamamcı,حمامجى
hamamcılık,حمامجيلق
hamarat,خامارات
hamarat,حمارات
hamâset,حماست
hamâsiyat,حماسيات
hacamatcı,حجامتجي
hambelî,حنبلي
hamdetmek,حمدايتمك
hamdolsun,حمد اولسون
hamhalat,خامخالات
hâmız,حامض
hâmızî,حامضى
hâmıziyet,حامضيت
hâmi,حامى
hamil,حمل
hâmil,حامل
hâmile,حامله
hâmilen,حاملاً
haminne,خاميننه
hâmiş,هامش
hamiyet,حميت
hamiyetli,حميتلى
hamiyetsiz,حميتسز
hamlamak,خاملامق
hamlaşmak,خاملاشمق
hamle,حمله
hamleci,حمله‌جی
hamletmek,حمل ايتمك
hamlık,خاملق
hampa,هاميا
hampa,همپا
hempa,همپا
hamse,خمسه
hamur,خمور
hamurcu,خمورجي
hamurlamak,خمورلامق
hamurlu,خمورلى
hamursuz,خمورسز
hamut,هاموت
han,خان
han,خان
hancı,خانجي
hancılık,خانجيلق
hançer,حنجر
hançere,حنجره
hande,خنده
hâne,خانه
hanefi,حنفى
hânedân,خاندان
haneharâb,حانه‌خراب
hânende,خواننده
hangar,هانغار
hangi,هانگى
hangi,قنغى
kangi,قنغى
hanım,خانم
hanımböceği,خانم بوجكى
hanımeli,خانم ألى
hani,قنى
kani,قنى
hanif,حنيف
hânis,حانث
hânlık,خانلق
hantal,حانطال
hantallaşmak,حانطاللاشمق
hânümân,خانمان
hap,حاب
hapis,حبس
hapisâne,حبسخانه
habtetmek,حبط ايتمك
hârâ,حارا
harâb,خراب
harâbât,خرابات
harâbâtî,خراباتى
hârâbâtîlik,خراباتيليك
harâbe,خرابه
harâbezâr,خرابه‌زار
harâbiyet,خرابيت
harablık,خرابلق
harac,خراج
haraccı,خراججى
haraçmezad,خراج مزاد
harakiri,هاراكيرى
haram,حرام
haramcı,حرامجى
haramcılık,حرامجيلق
hârâmî,حرامى
harâmîlik,حراميلك
harâret,حرارت
harâretlenmek,حرارتله‌نمك
hâraretli,حرارتلى
harb,حرب
harbe,حربه
harbetmek,حرب ايتمك
harbi,حربى
harbiye,حربيه
harc,خرج
harcamak,خرجامق
harcanmak,خرجانمق
harcırah,خرج راه
harçlı,خرجلى
harçlık,خرجلق
hardal,خردال
hardâliye,خرداليه
hardalyakısı,خردال ياقيسى
hâre,خاره
harekât,حركات
hareke,حركه
harekelemek,حركه‌له‌مك
harekelendirmek,حركه‌لنديرمك
harekelenmek,حركه‌لنمك
harekeli,حركه‌لى
harekesiz,حركه‌سز
hareket,حركت
hareketli,حركتلى
hareketsiz,حركتسز
hareketsizlik,حركتسزلك
harekî,حركى
hârelenmek,خاره‌لنمك
hâreli,خاره‌لى
harem,حريم
Haremeyn,حرمين
harf,حرف
harfendâz,حرف‌انداز
harfendazlık,حرف‌اندازلق
harıl,خاريل
harılharıl,حاريل‌حاريل
harıltı,خاريلتى
hâricen,خارجاً
hâricî,خارجى
hâriciye,خارجيه
hâriç,خارج
hârika,خارقه
harikulâde,خارق العاده
harim,حريم
haris,حريص
harita,خريطه
harlamak,خارلامق
harlı,خارلى
harman,خرمان
harmancı,خرمانجى
harmanlamak,خرمانلامق
harmansonu,خرمان صوكى
harmanyeri,خرمان يرى
hars,حرث
harsî,حرثى
has,خاص
hasar,خسار
hasat,حصاد
hasbelîcâb,حسب الايجاب
hasbellüzum,حسب اللزوم
hasbi,حسبى
hasbihal,حسب حال
haseb,حسب
hasebile,حسبيله
hased,حسد
hasedçi,حسدجى
hasedsiz,حسدسز
haseki,خاصكى
hasenât,حسنات
hâsıl,حاصل
hâsıl,حاصل
hâsılât,حاصلات
hâsılı,حاصلى
hasım,خصم
hasımlık,خصملق
hasır,حصير
hasıraltı,حصير آلتى
hasırcı,حصيرجى
hasırlamak,حصيرلامق
hasırlı,خصيرلى
hasis,خسيس
hasislik,خسيسلك
haslet,خصلت
hasnâ,حسنا
haspa,حاسپا
hasret,حسرت
hasretli,حسرتلىى
hasretmek,حصرايتمك
hassa,خاصه
hassas,حساس
hassâsiyet,حساسيت
hâssaten,خاصةً
hasse,حاسه
hasta,خسته
hastabakıcı,خسته‌باقيجى
hastahâne,خسته‌خانه
hastalanmak,خسته‌لانمق
hastalık,خسته‌لق
hastalıklı,خسته‌لقلى
hasud,حسود
hâşa,خاشه
hâşâ,حاشا
haşarât,حشرات
haşarı,حشارى
haşarılık,حىشاريلق
